,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
3463,Kentucky,Warren County,Census Tract 116,Block Group 2,886,521,521,505,16,0,365,0.030710172744721688,0.5880361173814899,0.5880361173814899,0.5699774266365688,0.01805869074492099,0.0,0.41196388261851014
3464,Kentucky,Warren County,Census Tract 116,Block Group 3,1363,977,977,977,0,0,386,0.0,0.7168011738811445,0.7168011738811445,0.7168011738811445,0.0,0.0,0.28319882611885544
3465,Kentucky,Warren County,Census Tract 116,Block Group 4,988,850,850,845,5,0,138,0.0058823529411764705,0.8603238866396761,0.8603238866396761,0.8552631578947368,0.005060728744939271,0.0,0.1396761133603239
3466,Kentucky,Warren County,Census Tract 116,Block Group 5,1075,778,778,712,66,0,297,0.08483290488431877,0.7237209302325581,0.7237209302325581,0.6623255813953488,0.061395348837209304,0.0,0.2762790697674419
3467,Kentucky,Warren County,Census Tract 117.01,Block Group 1,2448,1668,1653,1653,0,15,780,0.0,0.6813725490196079,0.6752450980392157,0.6752450980392157,0.0,0.006127450980392157,0.31862745098039214
3468,Kentucky,Warren County,Census Tract 117.01,Block Group 2,1663,1389,1389,1237,152,0,274,0.10943124550035997,0.8352375225496091,0.8352375225496091,0.7438364401683704,0.09140108238123873,0.0,0.16476247745039085
3469,Kentucky,Warren County,Census Tract 117.02,Block Group 1,830,522,522,510,12,0,308,0.022988505747126436,0.6289156626506024,0.6289156626506024,0.6144578313253012,0.014457831325301205,0.0,0.3710843373493976
3470,Kentucky,Warren County,Census Tract 117.02,Block Group 2,1100,703,703,556,147,0,397,0.20910384068278806,0.639090909090909,0.639090909090909,0.5054545454545455,0.13363636363636364,0.0,0.3609090909090909
3471,Kentucky,Warren County,Census Tract 117.02,Block Group 3,976,553,553,483,70,0,423,0.12658227848101267,0.5665983606557377,0.5665983606557377,0.4948770491803279,0.07172131147540983,0.0,0.4334016393442623
3472,Kentucky,Warren County,Census Tract 118.01,Block Group 1,894,510,510,510,0,0,384,0.0,0.5704697986577181,0.5704697986577181,0.5704697986577181,0.0,0.0,0.42953020134228187
3473,Kentucky,Warren County,Census Tract 118.01,Block Group 2,557,378,378,361,17,0,179,0.04497354497354497,0.6786355475763016,0.6786355475763016,0.6481149012567325,0.03052064631956912,0.0,0.3213644524236984
3474,Kentucky,Warren County,Census Tract 118.01,Block Group 3,863,512,512,492,20,0,351,0.0390625,0.593279258400927,0.593279258400927,0.5701042873696408,0.023174971031286212,0.0,0.406720741599073
